"nearc2","wage","educ","south","black"
0,548,7,0,1
0,481,12,0,0
0,721,12,0,0
1,250,11,0,0
1,729,12,0,0
1,500,12,0,0
1,565,18,0,0
1,608,14,0,0
1,425,12,0,0
1,515,12,0,0
1,225,9,0,0
1,400,12,0,0
1,417,11,0,0
1,217,11,0,0
1,894,16,0,1
1,300,14,0,0
1,346,12,0,0
1,658,14,0,0
1,575,10,0,0
1,649,12,0,0
1,944,18,1,0
1,614,18,0,0
1,726,15,0,0
0,604,12,0,0
0,693,12,0,0
0,1400,18,0,0
0,300,12,0,0
0,1800,18,0,0
0,413,12,0,0
0,632,14,0,0
1,208,12,0,0
1,457,12,0,1
1,824,16,0,0
1,577,18,0,0
1,255,11,0,0
1,962,16,0,0
1,944,10,0,0
1,1146,18,0,0
1,324,6,0,0
1,235,11,0,1
1,1000,12,0,0
1,481,9,0,0
1,624,15,0,0
1,650,11,0,0
1,344,12,0,1
1,380,16,1,0
1,353,12,0,0
1,659,13,0,0
1,621,17,0,0
1,440,12,0,0
1,738,12,0,1
1,280,11,1,1
1,434,10,0,0
1,705,12,0,0
1,425,12,0,0
1,571,12,0,0
1,538,16,0,0
1,740,16,0,0
1,673,13,0,0
1,769,12,0,0
1,592,12,0,0
1,213,9,0,1
1,1563,16,0,0
1,774,16,0,0
1,600,12,1,0
1,693,18,0,0
1,570,13,0,0
1,433,14,0,0
1,538,15,0,0
1,627,12,0,0
1,481,8,0,0
1,545,12,0,0
1,576,12,0,0
1,700,16,0,0
1,788,16,0,0
1,1012,17,0,0
1,758,12,0,0
1,601,14,0,0
1,283,12,0,0
1,250,12,0,0
1,500,12,0,0
1,550,11,0,0
1,1143,12,0,0
1,810,18,1,0
1,313,12,0,1
1,731,18,0,0
1,625,16,0,0
1,588,14,0,0
1,375,14,0,0
1,817,16,1,0
1,865,14,0,0
1,350,15,1,0
1,202,13,1,0
1,505,13,1,0
1,816,17,0,0
1,625,18,0,0
1,769,18,0,0
1,500,17,0,0
1,619,17,0,0
1,650,12,0,0
0,769,18,0,0
0,512,12,0,0
0,625,18,0,0
0,1111,14,0,0
0,721,13,0,0
0,1154,14,0,0
0,827,18,0,0
0,923,16,0,0
0,1076,17,0,0
0,625,12,0,0
0,460,13,0,0
0,900,14,0,1
0,682,18,0,0
0,411,12,0,0
0,625,13,0,0
0,1005,18,0,0
0,725,11,0,0
0,750,15,0,0
0,529,14,0,0
0,972,17,0,0
0,472,12,0,0
0,325,12,0,0
0,875,12,0,0
0,625,13,0,0
0,337,12,0,0
0,481,16,0,0
0,650,9,0,0
0,383,16,0,0
0,962,18,0,0
0,615,16,0,0
0,702,14,0,0
0,635,14,0,0
0,200,12,0,0
0,817,12,0,0
0,577,14,0,0
0,466,17,0,0
0,924,16,0,0
0,793,16,1,0
0,635,14,0,0
0,570,12,0,0
0,705,16,0,0
0,635,14,0,0
0,694,12,0,0
0,615,13,0,0
0,462,16,0,0
0,865,12,0,0
0,737,18,1,0
0,1400,12,0,0
0,808,12,0,0
0,654,16,0,0
0,300,12,0,0
0,577,16,0,0
0,265,16,0,0
0,594,18,0,0
0,325,17,0,0
0,385,16,0,0
0,1000,18,0,0
0,465,18,0,0
0,440,16,0,0
0,625,16,0,0
0,285,17,0,0
0,650,14,0,0
0,808,13,0,0
0,500,12,0,0
0,831,16,0,0
0,500,12,0,0
0,693,17,0,0
0,1100,12,0,0
0,763,12,0,0
1,795,12,0,0
1,333,16,0,0
1,409,18,0,0
1,865,16,0,0
1,888,12,0,0
1,673,12,0,0
1,700,12,0,0
1,250,18,1,0
1,625,11,0,0
1,417,13,0,0
1,576,13,0,0
1,613,12,0,1
1,700,12,0,0
1,450,12,0,0
1,500,16,0,0
1,514,12,0,0
1,250,16,0,0
1,315,12,0,0
1,375,12,0,0
1,457,15,0,0
1,275,12,0,1
1,951,12,0,0
1,1115,16,0,0
1,289,16,0,0
1,500,16,0,0
1,726,18,0,0
1,1265,18,0,0
1,613,17,0,1
0,545,12,0,0
0,278,13,0,0
0,1442,18,0,0
0,995,16,0,0
0,700,12,0,0
0,577,16,0,0
0,858,16,0,0
0,686,12,0,0
0,832,15,0,0
1,633,13,0,0
1,689,12,0,0
1,769,14,0,0
1,385,15,0,0
1,450,12,0,0
1,615,12,0,0
1,682,12,0,0
1,670,10,0,0
1,800,11,0,0
1,505,14,0,0
1,1026,18,0,0
1,769,15,0,0
1,290,10,1,0
1,529,13,0,0
1,1154,16,0,0
1,549,10,0,0
1,475,12,0,0
1,450,12,0,0
1,875,17,0,0
1,200,15,0,0
1,300,13,0,0
1,462,16,0,0
1,385,12,0,0
1,1282,15,0,0
1,588,16,0,0
1,600,12,0,0
1,500,16,0,0
1,440,12,0,1
0,467,18,1,0
0,929,17,0,0
0,556,16,0,0
0,438,13,0,0
0,600,12,0,1
0,575,12,0,1
0,389,12,0,1
0,795,12,0,0
0,471,18,0,0
0,202,17,0,0
