ID	age	gender	party	eidretain	eidideology	treatment	respideol	distideol	educ
R_poaUMG1G7YLrKKt	25-34	Female	Strong Democrat	1	7	1	2	5	Some college
R_1JDgtTKveX3DbOt	45-54	Female	Republican Leaner	2	6	1	5	1	Associate degree
R_2Yb8AZwaXDyvkId	25-34	Female	Strong Democrat	2	5	1	2	3	Some college
R_RV5eAo3HEWPmI7L	18-24	Female	Not so strong Republican	3	5	0	6	1	Some college
R_2y1qt5Wn0OfgZSj	25-34	Female	Independent/Other	3	5	0	4	1	Associate degree
R_YQ4oyG1NaLOtwPv	25-34	Male	Not so strong Democrat	1	1	1	1	0	Bachelor's degree
R_2CNhwgu5YLbOSs8	18-24	Male	Not so strong Democrat	2	6	1	4	2	Some college
R_1mmBtRDF002MoZX	55-64	Female	Strong Republican	2	4	0	7	3	Bachelor's degree
R_2VpZMBeChpHoFJF	18-24	Female	Not so strong Democrat	1	4	0	4	0	Associate degree
R_2X5tUdSmNGnFKmj	25-34	Female	Not so strong Democrat	2	6	1	2	4	Bachelor's degree
R_1Cwg7abPASrkkhX	25-34	Male	Not so strong Republican	3	4	0	7	3	Associate degree
R_T6K4BsIqyUi3t5v	35-44	Female	Strong Democrat	2	6	1	3	3	Bachelor's degree
R_1ONbqnYn43XUHqd	18-24	Female	Independent/Other	3	4	0	4	0	Some college
R_3RylJoOcoYes1Iz	18-24	Male	Not so strong Democrat	3	4	0	4	0	Bachelor's degree
R_PYQ2uZw2vrP90xb	25-34	Male	Independent/Other	1	7	1	4	3	Bachelor's degree
R_XyOXJ6Ece6UleHn	25-34	Male	Not so strong Democrat	1	7	1	3	4	Some college
R_3g0M6tBbeRT1iXv	45-54	Female	Not so strong Republican	3	5	1	5	0	Some college
R_27HXeskr9PaDxk2	35-44	Female	Strong Democrat	3	4	0	2	2	Bachelor's degree
R_22wZbj9WIZ8MRUV	35-44	Male	Not so strong Republican	3	4	0	7	3	HS diploma or the equivalent
R_1NwyqOhiup4RMXQ	25-34	Male	Strong Democrat	3	4	1	4	0	Some college
R_1Nn9MjKKzHqTPIw	25-34	Male	Independent/Other	3	4	0	4	0	Bachelor's degree
R_1jxZoeAdnOFqfeW	25-34	Male	Strong Democrat	2	4	0	1	3	Bachelor's degree
R_41SNrQTSj9VgAgN	25-34	Male	Not so strong Democrat	2	6	1	4	2	Some college
R_2TYO5vYIpOISs2h	18-24	Female	Independent/Other	4	4	1	4	0	Bachelor's degree
R_237CpXlqmKwEHG8	55-64	Female	Strong Democrat	2	5	1	1	4	HS diploma or the equivalent
R_RlCqx0rNBiIbVHr	25-34	Male	Independent/Other	2	6	0	4	2	Bachelor's degree
R_3J7P5fEePWOMO2S	25-34	Male	Independent/Other	2	5	1	4	1	Associate degree
R_2QstarzLYn2pOhD	55-64	Male	Republican Leaner	3	5	1	5	0	Some college
R_vZDzEinNNKJjRKx	25-34	Male	Democrat Leaner	2	5	1	1	4	Bachelor's degree
R_5AW0fSlNbjbB7bz	35-44	Female	Strong Democrat	2	5	0	2	3	HS diploma or the equivalent
R_7VCVJn3MiPybc53	35-44	Male	Republican Leaner	2	4	0	6	2	HS diploma or the equivalent
R_2xxzago7weXR2Yo	25-34	Male	Independent/Other	2	5	0	4	1	Bachelor's degree
R_2Enw3ZU6D7g2Qjl	25-34	Male	Independent/Other	1	1	0	1	0	Bachelor's degree
R_1eIrQseI3jHQRw1	35-44	Male	Democrat Leaner	2	4	1	2	2	Some college
R_2VD3MaXjCPvfVDz	25-34	Male	Strong Republican	2	4	0	7	3	HS diploma or the equivalent
R_2q7CveEAaS2V079	25-34	Male	Not so strong Republican	3	3	0	5	2	Bachelor's degree
R_s52rBKqGpGB0xep	25-34	Male	Democrat Leaner	2	4	0	3	1	Some college
R_3PsFtwsoWZqbgJ1	25-34	Male	Independent/Other	2	4	0	4	0	HS diploma or the equivalent
R_2WU6engYqc5dBrV	45-54	Female	Not so strong Democrat	3	3	0	2	1	Some college
R_1hN1vXOltTO4rXZ	25-34	Male	Not so strong Republican	3	4	0	5	1	HS diploma or the equivalent
R_cvC1ZAbM7kSKKqt	25-34	Female	Not so strong Democrat	2	4	1	3	1	Some college
